baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Oarb_100012_c0_g1	1.086733132672	-0.562411991141071	1.22045133173272	-0.460822956653744	0.644925630055456	NA
Oarb_100023_c0_g1	4.97175894498356	0.716916067857071	0.655685959924028	1.093383283577	0.274225549946342	0.603866937780465
Oarb_100054_c2_g1	13.3082210749647	-1.31769577281218	0.608675286615944	-2.16485834366331	0.0303985351458673	0.190644732845974
Oarb_100054_c2_g2	7.62365745283461	-1.83037575779161	0.666456989548682	-2.7464274311702	0.00602482130891711	0.0729203464695502
Oarb_100054_c2_g4	27.0196137421075	-0.36902993304713	0.851887129543139	-0.433191112119558	0.664875935261811	0.869014970176824
Oarb_100054_c2_g6	7.71899718422449	-1.53125660032564	0.635272685819914	-2.41039263060606	0.0159353609730923	0.131326592944077
Oarb_100059_c0_g1	0.890276910071109	1.04306960802111	1.89340300487894	0.55089677439685	0.581704438785003	NA
Oarb_100078_c0_g1	6.81387982676027	1.09570638744095	0.785691930563282	1.39457508066223	0.163144013967263	0.4775743646529
Oarb_100115_c0_g1	0.476703304162701	-0.85590728014114	2.05954035312996	-0.415581699499302	0.67771612031352	NA
Oarb_100172_c0_g1	1.47337900492776	-0.869104416666942	1.36058299904316	-0.638773538459725	0.522970264932976	NA
Oarb_100181_c1_g1	2.62798919330343	1.94393191669984	1.19570314905971	1.62576465423591	0.103999730153693	NA
Oarb_100188_c0_g1	0.685013418047162	0.329138824129509	1.53035476682741	0.215073544555847	0.829709979637331	NA
Oarb_100193_c0_g1	14.7280008677937	-1.17313349146982	0.376878823179789	-3.11276044000536	0.00185346398602047	0.0329504708625861
Oarb_100202_c0_g1	0.609130198709352	-0.176333196172197	1.69852197332945	-0.103815669706379	0.917315631037007	NA
Oarb_100229_c0_g1	10.5751284888869	-2.19686002381278	0.68605926485778	-3.20214322048138	0.00136409159369478	0.0257880139903105
Oarb_100248_c1_g1	0.450577022847594	-1.76530182939221	2.32421947145992	-0.759524584949531	0.447538813089173	NA
Oarb_100254_c0_g1	0.417509485848738	-0.0381112769528767	2.24940763041935	-0.0169428059358773	0.986482243461721	NA
Oarb_100302_c1_g1	0.839721649459245	-0.0572723955926675	1.61478368416099	-0.0354675342303977	0.971706934010268	NA
Oarb_100314_c0_g1	0.474193892009106	-0.494265535222009	1.89458454374737	-0.260883335532962	0.794182476274957	NA
Oarb_100337_c0_g1	0.726919704773082	0.257100974483265	1.80020998352069	0.14281721401214	0.886434541631092	NA
Oarb_100378_c0_g1	0.940405384936252	-0.699826782432186	1.38155118451696	-0.506551469301421	0.612469567396972	NA
Oarb_100478_c0_g1	0.526506692318878	0.105497456749579	1.59830936925921	0.066005654961827	0.947373323266717	NA
Oarb_100535_c0_g1	0.920533549128127	2.0415510705061	1.44835737530258	1.40956307146197	0.158668737603386	NA
Oarb_100544_c0_g2	70.7137599214354	-1.23103422987156	0.982190322541827	-1.25335609771204	0.210076141240799	0.541108077985717
Oarb_100547_c0_g1	0.461586115258483	-0.740782431542396	2.17232239606646	-0.341009434365622	0.733096479389564	NA
Oarb_100562_c0_g1	3.0363961542466	-0.637680213389812	0.768229009250713	-0.830065261414391	0.406501886571995	NA
Oarb_100576_c0_g1	1.16735637563951	2.13647593302448	1.68031081924195	1.27147662715659	0.20355913729647	NA
Oarb_100625_c1_g1	7.04512438220923	0.650057664251973	0.571958969859969	1.13654597358815	0.255728136293757	0.586141275764841
Oarb_100625_c1_g2	0.36753348103545	0.80437777669413	2.70042510545485	0.297870796368057	0.765801777855961	NA
Oarb_100638_c1_g1	0.446815423188643	0.569396597516513	1.95995102126642	0.290515727861709	0.771421720279488	NA
Oarb_100649_c0_g1	3.77461266293258	0.329280533522118	1.12149443209524	0.293608710037853	0.769056919352124	NA
Oarb_100665_c2_g1	1.28943352022041	0.118042734765168	1.10821654752762	0.106515946751126	0.915173003707202	NA
Oarb_100674_c0_g1	1.83746700762943	0.0167110387036581	2.90648321112242	0.00574957345004058	0.995412529388149	NA
Oarb_100696_c0_g1	0.847892777166261	-3.05202885952342	1.88006766799333	-1.6233611754948	0.104512219104842	NA
Oarb_100698_c0_g1	3.66090836718505	-0.424345440057382	0.738961154352409	-0.574245936417671	0.565801388200307	NA
Oarb_100698_c1_g1	17.7491404843953	-0.794785426980708	0.398224254222436	-1.99582375647257	0.0459531099945338	0.247294833112503
Oarb_100700_c1_g1	11.6308483844835	-0.519950069946933	0.509299121423973	-1.02091295286978	0.307295681749133	0.630046458499611
Oarb_100702_c0_g1	17.7055221229305	-0.529469710406366	0.565660193238326	-0.936020806723601	0.349262475043792	0.666462735010934
Oarb_100719_c3_g1	33.3436438857276	-0.277287674990013	0.272423391535456	-1.01785560126515	0.308746583939158	0.631610334504358
Oarb_100728_c0_g1	0.724040944261176	0.212983164541192	1.63524659699514	0.130245288345233	0.896372364800362	NA
Oarb_100735_c0_g1	2.21210698834823	-0.67037578282034	0.954456472530831	-0.702363912984713	0.482452244321684	NA
Oarb_10073_c0_g1	15.4226869702374	0.463371156667316	0.540150536667876	0.857855588787891	0.390972209975782	0.696193728947103
Oarb_100790_c1_g2	1.45889981676994	-2.82791282419719	1.36462200419284	-2.07230486941317	0.0382370186029791	NA
Oarb_100800_c0_g1	0.75728709139135	1.07017112697699	1.48498591884853	0.720660791051009	0.471118241640425	NA
Oarb_100813_c1_g1	0.441963641605253	0.550739878866016	1.93277326894758	0.28494800073777	0.775683980397355	NA
Oarb_100828_c1_g1	3.40629532698146	0.132920930038847	0.765544465039923	0.17362927446927	0.86215682375767	NA
Oarb_100839_c1_g1	12.539514747113	3.23598625460125	0.843021330286848	3.83855797990327	0.000123758992983924	0.00465814560643005
Oarb_100844_c1_g1	6.78854377379531	0.279693043346654	0.504340170911439	0.55457221034207	0.579187301401001	0.822255370824254
Oarb_100850_c0_g1	7.34493966560132	0.375865525604419	0.526627895544433	0.713721260845565	0.475399556906485	0.755398290300954
Oarb_100857_c0_g3	0.560497729245229	0.029949120836041	1.79262859089768	0.0167068186840887	0.986670507397805	NA
Oarb_100866_c2_g1	11.1026155367554	0.586846825416344	0.455233584524734	1.28911144820085	0.197359344115801	0.529323759063624
Oarb_100868_c0_g1	1.38972135880473	-1.77897585264342	1.8043114310546	-0.985958311866168	0.324153570320328	NA
Oarb_100872_c2_g1	1.93920952507854	1.46369429089733	0.948507565128222	1.54315510461897	0.122793147321304	NA
Oarb_100875_c0_g1	2.40807913836547	0.379198166551966	0.885889590517646	0.42804224207036	0.668620366259709	NA
Oarb_100884_c0_g1	2.15943118096588	-0.460556886344323	1.113271278613	-0.413696908554148	0.679096091416231	NA
Oarb_100947_c0_g1	10.6640714124293	-0.805275737135573	0.586953462405841	-1.37195840677872	0.170076386344628	0.48869955953603
Oarb_100963_c0_g1	0.657663830380268	-0.68297947402304	1.63819167081934	-0.416910600993014	0.676743799219955	NA
