baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Oarb_100012_c0_g1	1.086733132672	-0.48338393115334	1.61537961364113	-0.29923859820403	0.764758000637221	NA
Oarb_100023_c0_g1	4.97175894498356	0.909316448623668	0.880498367805909	1.03272928363237	0.301730605441148	NA
Oarb_100054_c2_g1	13.3082210749647	-2.18362443626709	0.935314410932217	-2.33464213824172	0.0195621233030004	0.277913741884995
Oarb_100054_c2_g2	7.62365745283461	-1.74821412314473	0.98018096642957	-1.78356261039512	0.0744947657138276	NA
Oarb_100054_c2_g4	27.0196137421075	-1.91404195851677	1.16484561251862	-1.64317222638479	0.100347304526178	0.547105445262731
Oarb_100054_c2_g6	7.71899718422449	-1.4610267876333	0.928630094239267	-1.5733140641217	0.115646114365461	NA
Oarb_100059_c0_g1	0.890276910071109	0.926576639359856	2.43996674702653	0.37974969965842	0.704131223871676	NA
Oarb_100078_c0_g1	6.81387982676027	-2.35612250643551	1.42007009395918	-1.6591593023881	0.0970836960200562	NA
Oarb_100115_c0_g1	0.476703304162701	-1.15562801107789	2.64222481700101	-0.437369297132544	0.661843546817842	NA
Oarb_100172_c0_g1	1.47337900492776	-3.01954536259087	2.04431474003735	-1.47704524330519	0.139663509900304	NA
Oarb_100181_c1_g1	2.62798919330343	0.535645743745084	1.6603227879306	0.322615426132111	0.746986509572028	NA
Oarb_100188_c0_g1	0.685013418047162	-1.516967554412	2.16701837216292	-0.70002523924054	0.483911542481117	NA
Oarb_100193_c0_g1	14.7280008677937	-1.12476316018548	0.548439567062683	-2.05084247697418	0.0402822894694383	0.392634250474173
Oarb_100202_c0_g1	0.609130198709352	-1.14086429581661	2.26971910712361	-0.502645588273878	0.61521347135631	NA
Oarb_100229_c0_g1	10.5751284888869	-0.93716763937614	0.899337731983083	-1.04206418350717	0.297381922688636	0.774553804879911
Oarb_100248_c1_g1	0.450577022847594	-1.21661367917784	2.91501445897221	-0.417361113058356	0.67641429395331	NA
Oarb_100254_c0_g1	0.417509485848738	1.17895171857216	2.78549379936634	0.423246936984875	0.672115104706843	NA
Oarb_100302_c1_g1	0.839721649459245	-0.790172046472761	2.14122584781918	-0.369027885254394	0.712106939992287	NA
Oarb_100314_c0_g1	0.474193892009106	0.935193419651261	2.32974835097622	0.401413920631984	0.688115402065725	NA
Oarb_100337_c0_g1	0.726919704773082	0.617668996822386	2.30870797991967	0.2675388148673	0.789054332995321	NA
Oarb_100378_c0_g1	0.940405384936252	-1.06765485165703	1.85332515864235	-0.576075302640978	0.564564284074777	NA
Oarb_100478_c0_g1	0.526506692318878	0.411169698903406	2.0184024914154	0.203710459460974	0.838579768120207	NA
Oarb_100535_c0_g1	0.920533549128127	1.48741111209722	1.87781941376564	0.792094863432303	0.428305364924492	NA
