Oarb_99925_c0_g1_i3	Oarb_99925_c0_g1
Oarb_99918_c0_g2_i3	Oarb_99918_c0_g2
Oarb_99918_c0_g2_i7	Oarb_99918_c0_g2
Oarb_99877_c0_g1_i1	Oarb_99877_c0_g1
Oarb_99877_c0_g1_i3	Oarb_99877_c0_g1
Oarb_99891_c0_g1_i4	Oarb_99891_c0_g1
Oarb_99875_c0_g1_i1	Oarb_99875_c0_g1
Oarb_99910_c0_g1_i4	Oarb_99910_c0_g1
Oarb_99910_c0_g1_i5	Oarb_99910_c0_g1
Oarb_99910_c0_g1_i7	Oarb_99910_c0_g1
Oarb_99910_c0_g1_i1	Oarb_99910_c0_g1
Oarb_99910_c0_g1_i2	Oarb_99910_c0_g1
Oarb_99910_c0_g1_i3	Oarb_99910_c0_g1
Oarb_99911_c0_g1_i1	Oarb_99911_c0_g1
Oarb_99911_c0_g1_i2	Oarb_99911_c0_g1
Oarb_99852_c0_g1_i1	Oarb_99852_c0_g1
Oarb_99852_c0_g1_i2	Oarb_99852_c0_g1
Oarb_99862_c0_g1_i1	Oarb_99862_c0_g1
Oarb_99898_c1_g1_i5	Oarb_99898_c1_g1
Oarb_99898_c1_g1_i1	Oarb_99898_c1_g1
Oarb_99898_c1_g1_i2	Oarb_99898_c1_g1
Oarb_99855_c0_g2_i1	Oarb_99855_c0_g2
Oarb_57037_c0_g1_i1	Oarb_57037_c0_g1
Oarb_57027_c0_g1_i1	Oarb_57027_c0_g1
Oarb_32747_c0_g1_i1	Oarb_32747_c0_g1
Oarb_32727_c0_g1_i1	Oarb_32727_c0_g1
Oarb_870_c0_g1_i1	Oarb_870_c0_g1
Oarb_74349_c0_g1_i1	Oarb_74349_c0_g1
Oarb_91688_c0_g2_i1	Oarb_91688_c0_g2
Oarb_23759_c0_g1_i1	Oarb_23759_c0_g1
Oarb_91739_c0_g1_i1	Oarb_91739_c0_g1
Oarb_91750_c0_g1_i1	Oarb_91750_c0_g1
Oarb_91789_c0_g1_i1	Oarb_91789_c0_g1
Oarb_91734_c0_g1_i1	Oarb_91734_c0_g1
Oarb_82604_c0_g2_i1	Oarb_82604_c0_g2
Oarb_82604_c0_g2_i2	Oarb_82604_c0_g2
Oarb_99110_c0_g1_i1	Oarb_99110_c0_g1
Oarb_99110_c0_g1_i3	Oarb_99110_c0_g1
Oarb_99110_c0_g2_i1	Oarb_99110_c0_g2
Oarb_99053_c0_g1_i1	Oarb_99053_c0_g1
Oarb_99040_c0_g1_i1	Oarb_99040_c0_g1
Oarb_99040_c0_g1_i2	Oarb_99040_c0_g1
Oarb_99073_c0_g1_i4	Oarb_99073_c0_g1
Oarb_99073_c0_g1_i6	Oarb_99073_c0_g1
Oarb_99073_c0_g1_i12	Oarb_99073_c0_g1
Oarb_99073_c0_g1_i11	Oarb_99073_c0_g1
Oarb_99059_c1_g1_i1	Oarb_99059_c1_g1
Oarb_99121_c0_g2_i1	Oarb_99121_c0_g2
Oarb_99121_c0_g2_i2	Oarb_99121_c0_g2
Oarb_99044_c0_g1_i1	Oarb_99044_c0_g1
Oarb_99084_c0_g1_i2	Oarb_99084_c0_g1
Oarb_99061_c0_g1_i2	Oarb_99061_c0_g1
Oarb_99061_c0_g1_i3	Oarb_99061_c0_g1
Oarb_99066_c0_g1_i1	Oarb_99066_c0_g1
Oarb_99066_c0_g1_i2	Oarb_99066_c0_g1
Oarb_99066_c0_g1_i3	Oarb_99066_c0_g1
Oarb_99131_c0_g1_i1	Oarb_99131_c0_g1
Oarb_99109_c0_g1_i4	Oarb_99109_c0_g1
Oarb_99109_c0_g1_i2	Oarb_99109_c0_g1
Oarb_99109_c0_g1_i3	Oarb_99109_c0_g1
Oarb_99072_c0_g1_i5	Oarb_99072_c0_g1
Oarb_99128_c0_g1_i4	Oarb_99128_c0_g1
Oarb_99128_c0_g1_i5	Oarb_99128_c0_g1
Oarb_99128_c0_g1_i1	Oarb_99128_c0_g1
Oarb_99128_c0_g1_i2	Oarb_99128_c0_g1
Oarb_99128_c0_g1_i3	Oarb_99128_c0_g1
Oarb_99067_c0_g1_i2	Oarb_99067_c0_g1
Oarb_56243_c0_g1_i2	Oarb_56243_c0_g1
Oarb_31906_c1_g1_i1	Oarb_31906_c1_g1
Oarb_31983_c0_g1_i1	Oarb_31983_c0_g1
Oarb_89915_c0_g1_i1	Oarb_89915_c0_g1
Oarb_89951_c0_g1_i1	Oarb_89951_c0_g1
Oarb_89903_c0_g1_i1	Oarb_89903_c0_g1
Oarb_89959_c0_g1_i1	Oarb_89959_c0_g1
Oarb_89935_c0_g1_i1	Oarb_89935_c0_g1
Oarb_73560_c0_g1_i1	Oarb_73560_c0_g1
Oarb_73583_c0_g1_i1	Oarb_73583_c0_g1
Oarb_90028_c0_g1_i1	Oarb_90028_c0_g1
Oarb_90088_c0_g1_i1	Oarb_90088_c0_g1
Oarb_22905_c0_g1_i1	Oarb_22905_c0_g1
Oarb_22920_c0_g1_i1	Oarb_22920_c0_g1
Oarb_64477_c0_g1_i1	Oarb_64477_c0_g1
Oarb_64468_c0_g1_i1	Oarb_64468_c0_g1
Oarb_90957_c0_g1_i1	Oarb_90957_c0_g1
Oarb_90957_c0_g1_i2	Oarb_90957_c0_g1
Oarb_38162_c0_g1_i1	Oarb_38162_c0_g1
Oarb_64516_c0_g1_i1	Oarb_64516_c0_g1
Oarb_64504_c0_g1_i1	Oarb_64504_c0_g1
Oarb_97219_c0_g1_i1	Oarb_97219_c0_g1
Oarb_97219_c0_g1_i2	Oarb_97219_c0_g1
Oarb_97177_c0_g1_i2	Oarb_97177_c0_g1
Oarb_97212_c1_g1_i3	Oarb_97212_c1_g1
Oarb_97212_c1_g1_i2	Oarb_97212_c1_g1
Oarb_97155_c0_g1_i1	Oarb_97155_c0_g1
Oarb_97190_c0_g1_i1	Oarb_97190_c0_g1
Oarb_97205_c0_g1_i1	Oarb_97205_c0_g1
Oarb_97205_c0_g1_i2	Oarb_97205_c0_g1
Oarb_97229_c0_g1_i1	Oarb_97229_c0_g1
Oarb_97229_c0_g1_i3	Oarb_97229_c0_g1
Oarb_97183_c0_g1_i1	Oarb_97183_c0_g1
Oarb_88160_c0_g1_i2	Oarb_88160_c0_g1
Oarb_63757_c0_g1_i2	Oarb_63757_c0_g1
Oarb_79094_c0_g1_i1	Oarb_79094_c0_g1
Oarb_79104_c0_g1_i1	Oarb_79104_c0_g1
Oarb_79100_c0_g1_i1	Oarb_79100_c0_g1
Oarb_79100_c0_g2_i1	Oarb_79100_c0_g2
Oarb_54739_c0_g1_i1	Oarb_54739_c0_g1
Oarb_12025_c0_g1_i1	Oarb_12025_c0_g1
Oarb_96375_c0_g1_i1	Oarb_96375_c0_g1
Oarb_96375_c0_g1_i2	Oarb_96375_c0_g1
Oarb_96423_c0_g1_i1	Oarb_96423_c0_g1
Oarb_96423_c0_g1_i2	Oarb_96423_c0_g1
