genes,log2FoldChange
Oarb_100012_c0_g1,-0.48338393115334
Oarb_100023_c0_g1,0.909316448623668
Oarb_100054_c2_g1,-2.18362443626709
Oarb_100054_c2_g2,-1.74821412314473
Oarb_100054_c2_g4,-1.91404195851677
Oarb_100054_c2_g6,-1.4610267876333
Oarb_100059_c0_g1,0.926576639359856
Oarb_100078_c0_g1,-2.35612250643551
Oarb_100115_c0_g1,-1.15562801107789
Oarb_100172_c0_g1,-3.01954536259087
Oarb_100181_c1_g1,0.535645743745084
Oarb_100188_c0_g1,-1.516967554412
Oarb_100193_c0_g1,-1.12476316018548
Oarb_100202_c0_g1,-1.14086429581661
Oarb_100229_c0_g1,-0.93716763937614
Oarb_100248_c1_g1,-1.21661367917784
Oarb_100254_c0_g1,1.17895171857216
Oarb_100302_c1_g1,-0.790172046472761
Oarb_100314_c0_g1,0.935193419651261
Oarb_100337_c0_g1,0.617668996822386
Oarb_100378_c0_g1,-1.06765485165703
Oarb_100478_c0_g1,0.411169698903406
Oarb_100535_c0_g1,1.48741111209722
Oarb_100544_c0_g2,-0.60065875860504
Oarb_100547_c0_g1,0.00814412297175413
Oarb_100562_c0_g1,-0.256124093926569
Oarb_100576_c0_g1,-0.509238927498723
Oarb_100625_c1_g1,-0.831598032180716
Oarb_100625_c1_g2,1.15787730973196
Oarb_100638_c1_g1,0.279934022627887
Oarb_100649_c0_g1,2.24155636957904
Oarb_100665_c2_g1,-0.432848033573895
Oarb_100674_c0_g1,1.81783946666712
Oarb_100696_c0_g1,-2.32572867739511
Oarb_100698_c0_g1,-1.25094931149077
Oarb_100698_c1_g1,-1.15536963840903
Oarb_100700_c1_g1,0.141455229342726
Oarb_100702_c0_g1,-1.72439267937385
Oarb_100719_c3_g1,0.240378455314088
Oarb_100728_c0_g1,-0.518397961597314
Oarb_100735_c0_g1,-3.48973274327785
Oarb_10073_c0_g1,1.31388724563893
Oarb_100790_c1_g2,-1.45991363505008
Oarb_100800_c0_g1,0.207225245065089
Oarb_100813_c1_g1,1.45988100905652
Oarb_100828_c1_g1,0.333505009767909
Oarb_100839_c1_g1,-0.695488089878089
Oarb_100844_c1_g1,0.575575671355286
Oarb_100850_c0_g1,-0.339308938986012
Oarb_100857_c0_g3,0.541911491916304
Oarb_100866_c2_g1,0.0521916956759242
Oarb_100868_c0_g1,-1.37240333478319
Oarb_100872_c2_g1,-1.38086132093332
Oarb_100875_c0_g1,-0.0626292218044952
Oarb_100884_c0_g1,0.684599278428357
Oarb_100947_c0_g1,-0.304769910800895
Oarb_100963_c0_g1,0.212796167697595
Oarb_100990_c1_g1,0.0105064292608459
Oarb_100990_c1_g2,-0.162218644804792
Oarb_100998_c0_g1,-3.32190931675362
Oarb_100998_c1_g1,-1.22037108337769
Oarb_101066_c0_g1,-0.475404837743177
Oarb_101069_c1_g1,-0.96017951575834
Oarb_101077_c0_g1,-0.91000439832313
Oarb_101085_c1_g2,0.698891997436733
Oarb_101110_c0_g1,-4.69626096113868
Oarb_101111_c0_g2,0.683083330271598
Oarb_101117_c2_g1,-0.969292557347974
Oarb_101119_c0_g1,-0.749966317469395
Oarb_101124_c0_g1,-0.479636570993663
Oarb_101132_c1_g1,1.16343632737076
Oarb_101141_c0_g1,0.145410031041063
Oarb_101155_c1_g1,2.80220894753994
Oarb_101155_c2_g1,-0.722378673774382
Oarb_101157_c0_g2,-0.145504810296778
Oarb_101161_c1_g1,0.108545753527647
Oarb_101171_c0_g1,-0.365768558275179
Oarb_101185_c0_g1,2.46812413279688
Oarb_101196_c0_g1,0.765474911830589
Oarb_101202_c0_g1,-2.18300235217167
Oarb_101222_c0_g1,-0.296378762731913
Oarb_101223_c0_g1,-1.47714028411846
Oarb_101227_c2_g1,-0.156692383583754
Oarb_101227_c3_g1,-1.57896382104961
Oarb_101228_c1_g1,-1.63494995170499
Oarb_101228_c1_g2,-0.360024702207029
Oarb_101248_c1_g1,-2.3370851006439
Oarb_101268_c0_g1,-3.10078732376783
Oarb_101279_c4_g1,0.0428065701355489
Oarb_101296_c0_g1,1.37479215548318
Oarb_101298_c0_g1,1.21545293363434
Oarb_101302_c0_g1,1.05172798356532
Oarb_101306_c0_g1,0.252089092651264
Oarb_101307_c0_g2,-0.00145233198638838
Oarb_101334_c2_g1,-0.220149031241666
Oarb_101373_c0_g1,-1.05936613226387
Oarb_101388_c0_g1,1.06210845361376
Oarb_101388_c0_g2,0.847292477478086
Oarb_101424_c0_g1,0.0557924193260772
Oarb_101426_c0_g1,0.904343509192081
Oarb_101433_c2_g2,0.443827448229447
Oarb_101440_c0_g2,0.718251513308551
Oarb_101442_c3_g1,-0.447811086445457
Oarb_101442_c3_g3,-0.190321459953307
Oarb_101447_c0_g1,-1.13495250555439
Oarb_101476_c0_g1,-1.22364417859883
Oarb_101513_c2_g1,1.19690494156649
Oarb_101571_c1_g1,-1.6034287865751
Oarb_101575_c0_g1,-0.259823025904765
Oarb_101584_c0_g1,0.830008562639344
Oarb_101614_c2_g1,-2.3726438193686
Oarb_101615_c0_g2,-2.18614749091926
Oarb_101630_c1_g1,0.529991030723592
Oarb_101658_c3_g2,3.47167094725983
Oarb_101659_c3_g1,-1.23685373077702
Oarb_101671_c3_g1,0.565817789442723
Oarb_101684_c2_g1,0.953597623264579
Oarb_101738_c4_g2,-0.813404573328507
Oarb_101749_c0_g1,1.61086024695136
Oarb_101749_c0_g2,-2.05146199405125
Oarb_101762_c0_g1,-0.335483861843156
Oarb_101763_c0_g1,-0.762166112665311
Oarb_101765_c1_g1,0.133122392858862
Oarb_101770_c0_g1,-1.99597002853123
Oarb_101792_c1_g1,0
Oarb_101810_c0_g2,-1.44966529336828
Oarb_101818_c4_g2,1.28670613808027
Oarb_101833_c0_g1,0.313389387022753
Oarb_101835_c0_g1,-0.929347805396018
Oarb_101870_c0_g1,-1.50089650515026
Oarb_101883_c0_g1,-0.206577541147098
Oarb_101892_c0_g3,0.311880160470456
Oarb_101895_c0_g1,-1.30350511275877
Oarb_101917_c3_g1,0.368577462095841
Oarb_101938_c0_g2,-0.935861816790562
Oarb_101940_c0_g2,0.634853860980921
Oarb_101945_c0_g1,0.396413908055233
Oarb_101955_c0_g2,-2.91038118672484
Oarb_101962_c0_g1,-1.27885693731824
Oarb_101978_c1_g1,-0.491990593152334
