log2FoldChange,genes
-0.562411991141071,Oarb_100012_c0_g1
0.716916067857071,Oarb_100023_c0_g1
-1.31769577281218,Oarb_100054_c2_g1
-1.83037575779161,Oarb_100054_c2_g2
-0.36902993304713,Oarb_100054_c2_g4
-1.53125660032564,Oarb_100054_c2_g6
1.04306960802111,Oarb_100059_c0_g1
1.09570638744095,Oarb_100078_c0_g1
-0.85590728014114,Oarb_100115_c0_g1
-0.869104416666942,Oarb_100172_c0_g1
1.94393191669984,Oarb_100181_c1_g1
0.329138824129509,Oarb_100188_c0_g1
-1.17313349146982,Oarb_100193_c0_g1
-0.176333196172197,Oarb_100202_c0_g1
-2.19686002381278,Oarb_100229_c0_g1
-1.76530182939221,Oarb_100248_c1_g1
-0.0381112769528767,Oarb_100254_c0_g1
-0.0572723955926675,Oarb_100302_c1_g1
-0.494265535222009,Oarb_100314_c0_g1
0.257100974483265,Oarb_100337_c0_g1
-0.699826782432186,Oarb_100378_c0_g1
0.105497456749579,Oarb_100478_c0_g1
2.0415510705061,Oarb_100535_c0_g1
-1.23103422987156,Oarb_100544_c0_g2
-0.740782431542396,Oarb_100547_c0_g1
-0.637680213389812,Oarb_100562_c0_g1
2.13647593302448,Oarb_100576_c0_g1
0.650057664251973,Oarb_100625_c1_g1
0.80437777669413,Oarb_100625_c1_g2
0.569396597516513,Oarb_100638_c1_g1
0.329280533522118,Oarb_100649_c0_g1
0.118042734765168,Oarb_100665_c2_g1
0.0167110387036581,Oarb_100674_c0_g1
-3.05202885952342,Oarb_100696_c0_g1
-0.424345440057382,Oarb_100698_c0_g1
-0.794785426980708,Oarb_100698_c1_g1
-0.519950069946933,Oarb_100700_c1_g1
-0.529469710406366,Oarb_100702_c0_g1
-0.277287674990013,Oarb_100719_c3_g1
0.212983164541192,Oarb_100728_c0_g1
-0.67037578282034,Oarb_100735_c0_g1
0.463371156667316,Oarb_10073_c0_g1
-2.82791282419719,Oarb_100790_c1_g2
1.07017112697699,Oarb_100800_c0_g1
0.550739878866016,Oarb_100813_c1_g1
0.132920930038847,Oarb_100828_c1_g1
3.23598625460125,Oarb_100839_c1_g1
0.279693043346654,Oarb_100844_c1_g1
0.375865525604419,Oarb_100850_c0_g1
0.029949120836041,Oarb_100857_c0_g3
0.586846825416344,Oarb_100866_c2_g1
-1.77897585264342,Oarb_100868_c0_g1
1.46369429089733,Oarb_100872_c2_g1
0.379198166551966,Oarb_100875_c0_g1
-0.460556886344323,Oarb_100884_c0_g1
-0.805275737135573,Oarb_100947_c0_g1
-0.68297947402304,Oarb_100963_c0_g1
1.20981558686768,Oarb_100990_c1_g1
0.165490900689931,Oarb_100990_c1_g2
-0.38580570991644,Oarb_100998_c0_g1
-0.936477571157306,Oarb_100998_c1_g1
-1.47223514235028,Oarb_101066_c0_g1
-0.624679688766535,Oarb_101069_c1_g1
-0.0898814827349134,Oarb_101077_c0_g1
-0.680439536672255,Oarb_101085_c1_g2
-2.87458401472481,Oarb_101110_c0_g1
2.40296593467714,Oarb_101111_c0_g2
-0.381629262300875,Oarb_101117_c2_g1
-1.4646391136493,Oarb_101119_c0_g1
-0.199562224577838,Oarb_101124_c0_g1
1.42994572979075,Oarb_101132_c1_g1
-0.508102680125801,Oarb_101141_c0_g1
0.432273247841029,Oarb_101155_c1_g1
-0.409141844716002,Oarb_101155_c2_g1
0.337608032641622,Oarb_101157_c0_g2
-1.0611145452404,Oarb_101161_c1_g1
2.6885322195482,Oarb_101171_c0_g1
2.07248321145229,Oarb_101185_c0_g1
